ID,Country,Department_Province,Location,Longitude ,Latitude,altitud_m,Record,Source,RecordType
PE001,Peru,Piura / Ayabaca,Tapal,-79.456142,-4.780045,3485,Faeces,Fieldwork Jessica Amanzo & Denise Mateo,Sightings
PE002,Peru,Piura / Ayabaca,Tapal,-79.45631,-4.78956,3420,"Faeces, tracks",Fieldwork Alexander More & Katty Carrillo,Sightings
PE003,Peru,Piura / Ayabaca,Laguna 7 poderes,-79.418191,-4.836427,3450,"Observation, photo",Fieldwork Alexander More & Paul Viñas,Sightings
PE004,Peru,Piura / Ayabaca,Yanta,-79.436016,-4.841043,3280,Faeces,Fieldwork Jessica Amanzo & Denise Mateo,Sightings
PE005,Peru,Piura / Ayabaca,Aguamingas,-79.443741,-4.854229,3265,"Faeces, footprint",Fieldwork Alexander More & Paul Viñas,Sightings
PE006,Peru,Piura / Ayabaca,Pacaipampa,-79.451196,-4.92042,3675,Faeces,Fieldwork Jessica Amanzo & Denise Mateo,Sightings
PE007,Peru,Piura / Ayabaca,Pacaipampa,-79.451633,-4.922707,3645,Unknown,Ortega-Andrade et al 2015,Literature
PE008,Peru,Piura / Ayabaca,Pacaipampa,-79.452354,-4.924818,3560,Faeces,Fieldwork Jessica Amanzo & Denise Mateo,Sightings
PE009,Peru,Piura / Ayabaca,Mushcapan,-79.421237,-4.937039,3090,"Tracks, Faeces",Fieldwork Katty Carrillo,Sightings
PE010,Peru,Piura / Ayabaca,Laguna de Chames,-79.468987,-4.937863,3480,Faeces,Fieldwork Alexander More & Paul Viñas,
PE011,Peru,Piura / Ayabaca,Pacaipampa,-79.463845,-4.943802,3590,Faeces,Fieldwork Jessica Amanzo,Sightings
PE012,Peru,Piura / Ayabaca,Laguna Las Nacientes,-79.465192,-4.944307,3590,"Footprint, tracks",Fieldwork Alexander More & Paul Viñas,Sightings
PE013,Peru,Piura / Ayabaca,Pacaipampa,-79.441957,-4.947674,3225,Faeces,Fieldwork Jessica Amanzo,Sightings
PE014,Peru,Piura / Ayabaca,Pacaipampa,-79.438337,-4.94961,3155,Faeces,Fieldwork Jessica Amanzo,Sightings
PE015,Peru,Piura / Ayabaca,Lagunas La Colorada,-79.4731,-4.9559,3445,"Observation, photo",Fieldwork Paolo Villegas,Sightings
PE016,Peru,Piura / Ayabaca,Pacaipampa,-79.475799,-4.956008,3320,Faeces,Fieldwork Jessica Amanzo,Sightings
PE017,Peru,Piura / Ayabaca,Pacaipampa,-79.484966,-4.95604,3095,Unknown,Ortega-Andrade et al 2015,Literature
PE018,Peru,Piura / Ayabaca,Pacaipampa,-79.459966,-4.95604,3655,Unknown,Ortega-Andrade et al 2015,Literature
PE019,Peru,Piura / Ayabaca,Pacaipampa,-79.443299,-4.95604,3370,Unknown,Ortega-Andrade et al 2015,Literature
PE020,Peru,Piura / Ayabaca,Pacaipampa,-79.451554,-4.956345,3260,Faeces,Fieldwork Jessica Amanzo,Sightings
PE021,Peru,Piura / Ayabaca,Pacaipampa,-79.478745,-4.957944,3365,Faeces,Fieldwork Jessica Amanzo,Sightings
PE022,Peru,Piura / Ayabaca,Pacaipampa,-79.471596,-4.97132,3455,Faeces,Fieldwork Jessica Amanzo & Denise Mateo,Sightings
PE023,Peru,Piura / Ayabaca,Laguna Paramo,-79.465276,-4.978232,3240,"Faeces, tracks",Fieldwork Alexander More & Paul Viñas,Sightings
PE024,Peru,Piura / Ayabaca,Laguna El Paramo,-79.467128,-4.978569,3255,Observation,Ocasional record Municipalidad de Pacaipampa,Sightings
PE025,Peru,Piura / Ayabaca,Laguna La Cruz,-79.456686,-4.979802,3370,"Observation, photo",Fieldwork Alexander More,Sightings
PE026,Peru,Piura / Huancabamba,Peñarica,-79.390074,-4.988988,2645,"Footprint, tracks",Fieldwork Zoila Vega,Sightings
PE027,Peru,Piura / Ayabaca,Laguna El Rey,-79.470579,-4.996332,3670,"Footprint, tracks",Fieldwork Alexander More,Sightings
PE028,Peru,Piura / Huancabamba,Bellavista,-79.27928,-5.02132,3410,"Faeces, tracks",Fieldwork Elio Nuñez,Sightings
PE029,Peru,Piura / Huancabamba,Bellavista,-79.282423,-5.028148,3550,"Faeces, tracks",Fieldwork Elio Nuñez,Sightings
